epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7312,0.85353,3.46175,1.18422,0.21775,0.47631,0.24325,0.18732,0.78734,2.0945,1.1283,0.00017454,0.00017454,0.00017454
2,57.1247,0.75123,2.49722,1.09688,0.29441,0.57299,0.3643,0.28967,0.79237,1.87261,1.11488,0.000338327,0.000338327,0.000338327
3,83.4258,0.74562,2.1185,1.08255,0.49217,0.55303,0.55679,0.44739,0.79885,1.38752,1.12727,0.000490543,0.000490543,0.000490543
4,109.563,0.71515,1.77775,1.06193,0.70646,0.64618,0.72268,0.60227,0.71677,1.15024,1.04644,0.000473926,0.000473926,0.000473926
5,135.824,0.68869,1.51919,1.03854,0.77815,0.68958,0.78766,0.66272,0.68586,0.91348,1.02223,0.000456568,0.000456568,0.000456568
6,162.029,0.68164,1.32764,1.04305,0.80116,0.68599,0.7883,0.65655,0.69179,1.00049,1.03911,0.00043921,0.00043921,0.00043921
7,188.412,0.66635,1.21468,1.03117,0.84989,0.75399,0.84633,0.71645,0.66525,0.74546,1.0101,0.000421852,0.000421852,0.000421852
8,214.72,0.66666,1.1431,1.04129,0.85304,0.75894,0.84487,0.70941,0.66709,0.75281,1.00912,0.000404494,0.000404494,0.000404494
9,240.949,0.64533,1.07399,1.01242,0.90796,0.7748,0.87338,0.74049,0.65958,0.67732,0.99967,0.000387136,0.000387136,0.000387136
10,267.239,0.6287,1.00223,1.00618,0.91964,0.79987,0.89289,0.7524,0.65585,0.62224,1.00726,0.000369778,0.000369778,0.000369778
11,293.58,0.62328,0.94629,1.00139,0.90513,0.81924,0.89664,0.76333,0.64,0.60875,0.98801,0.00035242,0.00035242,0.00035242
12,319.893,0.61896,0.90411,1.00012,0.88337,0.84709,0.90443,0.7709,0.62909,0.59396,0.9753,0.000335062,0.000335062,0.000335062
13,346.212,0.61045,0.86752,1.00141,0.90335,0.8456,0.91619,0.77389,0.6521,0.54509,0.99689,0.000317704,0.000317704,0.000317704
14,372.475,0.59323,0.82758,0.98767,0.94365,0.8394,0.92567,0.78654,0.6295,0.52659,0.97446,0.000300346,0.000300346,0.000300346
15,398.83,0.59761,0.81763,0.98646,0.9266,0.82766,0.91609,0.77788,0.61811,0.5184,0.97224,0.000282988,0.000282988,0.000282988
16,425.259,0.5939,0.80181,0.99043,0.93666,0.8504,0.92481,0.79135,0.60275,0.50893,0.958,0.00026563,0.00026563,0.00026563
17,451.513,0.57448,0.7806,0.97837,0.93199,0.8532,0.93449,0.79867,0.60432,0.49703,0.96176,0.000248272,0.000248272,0.000248272
18,477.81,0.57176,0.74161,0.98027,0.95705,0.86451,0.93809,0.80199,0.60916,0.47548,0.96482,0.000230914,0.000230914,0.000230914
19,504.242,0.5663,0.71611,0.97344,0.94734,0.86297,0.93721,0.79971,0.60905,0.47182,0.9611,0.000213556,0.000213556,0.000213556
20,530.705,0.55887,0.71877,0.97586,0.93875,0.87017,0.94159,0.80079,0.61265,0.45532,0.96227,0.000196198,0.000196198,0.000196198
21,558.434,0.56777,0.52148,0.94727,0.93609,0.87317,0.94811,0.8079,0.59576,0.4507,0.95305,0.00017884,0.00017884,0.00017884
22,584.699,0.55367,0.49143,0.93601,0.92152,0.89869,0.94798,0.81246,0.59468,0.43335,0.95157,0.000161482,0.000161482,0.000161482
23,610.762,0.54125,0.4743,0.93298,0.94608,0.87668,0.95115,0.8138,0.58427,0.4255,0.94799,0.000144124,0.000144124,0.000144124
24,637.517,0.53933,0.46037,0.93182,0.96417,0.87849,0.94986,0.81291,0.58847,0.41667,0.95492,0.000126766,0.000126766,0.000126766
25,664.362,0.53507,0.43822,0.92796,0.94872,0.8902,0.95144,0.82145,0.58437,0.40565,0.94693,0.000109408,0.000109408,0.000109408
26,690.404,0.52291,0.42525,0.92156,0.95806,0.88712,0.95475,0.82091,0.57968,0.39827,0.94098,9.205e-05,9.205e-05,9.205e-05
27,716.897,0.52041,0.41176,0.9188,0.95804,0.8888,0.95523,0.82276,0.57518,0.3905,0.94189,7.4692e-05,7.4692e-05,7.4692e-05
28,743.112,0.51088,0.39819,0.91401,0.94524,0.89443,0.95567,0.8231,0.56872,0.38301,0.93488,5.7334e-05,5.7334e-05,5.7334e-05
29,769.402,0.50455,0.38849,0.90659,0.95542,0.89794,0.9587,0.82967,0.56271,0.37165,0.93275,3.9976e-05,3.9976e-05,3.9976e-05
30,795.667,0.49479,0.38268,0.90728,0.95653,0.90094,0.96075,0.83063,0.56235,0.3684,0.93236,2.2618e-05,2.2618e-05,2.2618e-05
